Version,Year,Month,Sender,Receiver,Cost,Quantity
V001,2017,M01,RP_01_61A,RP_01_61B,0,30.73913043
V001,2017,M01,RP_01_61A,RP_01_61C,0,84.5326087
V001,2017,M01,RP_01_61A,RP_01_61D,0,30.73913043
V001,2017,M01,RP_01_61A,RP_01_18A,0,30.73913043
V001,2017,M01,RP_01_78C,RP_01_25A,0,2213.25
V001,2017,M01,RP_01_78D,BP_01_78D_1,0,337.08
V001,2017,M01,RP_01_78D,BP_01_78D_2,0,243.62
V001,2017,M01,RP_01_14A,RP_01_14B,0,11.78333333
V001,2017,M01,RP_01_14A,RP_01_17A,0,79.5375
V001,2017,M01,RP_01_14A,RP_01_14C,0,35.35
V001,2017,M01,RP_01_14A,RP_01_14D,0,23.56666667
V001,2017,M01,RP_01_14A,RP_01_17C,0,26.5125
V001,2017,M01,RP_01_16A,RP_01_16B,0,38.5315
V001,2017,M01,RP_01_16A,RP_01_16C,0,5.656
V001,2017,M01,RP_01_16A,RP_01_16E,0,40.3451087
V001,2017,M01,RP_01_16A,RP_01_16F,0,11.52717391
V001,2017,M01,RP_01_16A,RP_01_16G,0,10.80672554
V001,2017,M01,RP_01_16A,RP_01_16H,0,48.99048913
V001,2017,M01,RP_01_16A,RP_01_16I,0,20.89300272
V001,2017,M01,RP_01_19A,RP_01_19B,0,430.7236842
V001,2017,M01,RP_01_19A,RP_01_19C,0,93.02631579
V001,2017,M01,RP_01_23A,RP_01_23B,0,176.75
V001,2017,M01,RP_01_25A,RP_01_78A,0,40.40789135
V001,2017,M01,RP_01_25A,RP_01_14A,0,64.44090816
V001,2017,M01,RP_01_25A,RP_01_15A,0,4.409783352
V001,2017,M01,RP_01_25A,RP_01_16D,0,2.722088489
V001,2017,M01,RP_01_25A,RP_01_16I,0,2.939855568
V001,2017,M01,RP_01_25A,RP_01_17A,0,153.0670616
V001,2017,M01,RP_01_25A,RP_01_17B,0,4.269653044
V001,2017,M01,RP_01_25A,RP_01_19A,0,3.984147697
V001,2017,M01,RP_01_25A,RP_01_19B,0,18.59268925
V001,2017,M01,RP_01_25A,RP_01_19C,0,6.640246162
V001,2017,M01,RP_01_25A,RP_01_25A,0,65.5539399
V001,2017,M01,RP_01_25A,RP_01_25B,0,3.599205891
V001,2017,M01,RP_01_25A,RP_01_31D,0,28.00726601
V001,2017,M01,RP_01_25A,RP_01_31E,0,32.60457101
V001,2017,M01,RP_01_25A,RP_01_34D,0,33.46959024
V001,2017,M01,RP_01_25A,RP_01_35A,0,2.419634212
V001,2017,M01,RP_01_25A,RP_01_35D,0,7.1250927
V001,2017,M01,RP_01_25A,RP_01_35E,0,7.148201109
V001,2017,M01,RP_01_25A,RP_01_35F,0,24.13288154
V001,2017,M01,RP_01_25A,RP_01_35G,0,11.69285483
V001,2017,M01,RP_01_25A,RP_01_35H,0,18.09388406
V001,2017,M01,RP_01_25A,RP_01_35I,0,31.83568446
V001,2017,M01,RP_01_25A,RP_01_35J,0,2.957876321
V001,2017,M01,RP_01_25A,RP_01_35K,0,8.881331765
V001,2017,M01,RP_01_25A,RP_01_35L,0,4.421408875
V001,2017,M01,RP_01_25A,RP_01_35M,0,10.78392409
V001,2017,M01,RP_01_25A,RP_01_38B,0,15.12271383
V001,2017,M01,RP_01_25A,RP_01_38C,0,3.024542766
V001,2017,M01,RP_01_25A,RP_01_39C,0,4.960250135
V001,2017,M01,RP_01_25A,RP_01_39D,0,4.234359872
V001,2017,M01,RP_01_25A,RP_01_40C,0,3.931905595
V001,2017,M01,RP_01_25A,RP_01_45A,0,19.2300429
V001,2017,M01,RP_01_25A,RP_01_45D,0,4.536814148
V001,2017,M01,RP_01_25A,RP_01_45E,0,4.536814148
V001,2017,M01,RP_01_25A,RP_01_45F,0,0.241963421
V001,2017,M01,RP_01_25A,RP_01_45G,0,0.241963421
V001,2017,M01,RP_01_25A,RP_01_45H,0,4.173869016
V001,2017,M01,RP_01_25A,RP_01_46D,0,15.72762238
V001,2017,M01,RP_01_25A,RP_01_47B,0,2.903561055
V001,2017,M01,RP_01_25A,RP_01_47C,0,3.931905595
V001,2017,M01,RP_01_25B,RP_01_25A,0,96253.76583
V001,2017,M01,RP_01_31A,RP_01_31B,0,113.5
V001,2017,M01,RP_01_31A,RP_01_31C,0,56.75
V001,2017,M01,RP_01_34A,RP_01_34B,0,137.07143
V001,2017,M01,RP_01_34A,RP_01_34C,0,39.67857
V001,2017,M01,RP_01_35A,RP_01_35B,0,306.94601
