Version,Year,Month,Bus.Unit,Type,Node,Variance,Idle_Cap,Email,Report
V001,2017,M01,BU01,SR,BP_01_15A_1,18%,2%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_16C_1,26%,22%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_16I_1,18%,28%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_17A_1,15%,5%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_17A_2,9%,27%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_17B_1,25%,29%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_17C_1,8%,29%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_17C_2,24%,17%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_17C_3,29%,27%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_17C_4,30%,24%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_17D_1,19%,18%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_18A_1,8%,4%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_18A_2,23%,11%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_18A_3,30%,18%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_19B_1,29%,24%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_19B_2,9%,9%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_19B_3,19%,29%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_19C_1,26%,7%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_19C_2,12%,10%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_19C_3,14%,30%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_23B_1,12%,28%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_23B_2,29%,13%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_31C_1,6%,15%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_31C_2,16%,17%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_31D_1,0%,14%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_31D_2,18%,19%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_34C_1,6%,20%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_34C_2,21%,4%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_34D_1,11%,29%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_34D_2,7%,1%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35D_1,2%,8%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35D_2,15%,13%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35E_1,6%,3%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35E_2,19%,24%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35F_1,19%,14%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35F_2,16%,10%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35G_1,13%,23%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35G_2,3%,18%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35H_1,15%,23%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35H_2,8%,23%,info@altavia.com,
